admissionNumber,studentName,firstName,middleName,lastName,form,stream,term,academicYear,totalAmount,amountPaid,balance,paymentStatus,dueDate,createdAt,updatedAt,parentPhone,email,status
3000,Susan Muli Koech,Susan,Muli,Koech,Form 1,C,Term 1,2024/2025,42448,0,42448,pending,2024-02-07,2024-01-06 00:00:00,2024-01-08 00:00:00,254767169520,susan.koech98@gmail.com,active
3001,Emma Rono Akinyi,Emma,Rono,Akinyi,Form 1,C,Term 1,2024/2025,39739,21116,18623,partial,2024-05-01,2024-03-01 00:00:00,2024-03-10 00:00:00,254798667572,emma.akinyi60@gmail.com,active
3002,Alexander Ochieng Mutua,Alexander,Ochieng,Mutua,Form 1,C,Term 1,2024/2025,45511,45511,0,paid,2024-02-20,2024-01-11 00:00:00,2024-01-24 00:00:00,254715791680,alexander.mutua85@gmail.com,active
3003,John  Ochieng,John,,Ochieng,Form 1,C,Term 1,2024/2025,46380,17208,29172,partial,2024-03-30,2024-03-03 00:00:00,2024-03-04 00:00:00,254763614372,john.ochieng37@gmail.com,active
3004,Eric Njeri Akinyi,Eric,Njeri,Akinyi,Form 1,F,Term 1,2024/2025,43511,23607,19904,partial,2024-05-18,2024-03-12 00:00:00,2024-03-29 00:00:00,254734853138,eric.akinyi46@gmail.com,active
3005,John  Ochieng,John,,Ochieng,Form 1,A,Term 1,2024/2025,42552,31137,11415,partial,2024-04-25,2024-02-17 00:00:00,2024-03-07 00:00:00,254764642173,john.ochieng10@gmail.com,active
3006,Oliver  Chebet,Oliver,,Chebet,Form 1,E,Term 1,2024/2025,41424,41424,0,paid,2024-06-12,2024-03-20 00:00:00,2024-07-11 00:00:00,254767164977,oliver.chebet99@gmail.com,active
3007,Isabella Musyoka Koech,Isabella,Musyoka,Koech,Form 1,A,Term 1,2024/2025,43161,29093,14068,partial,2024-04-09,2024-03-18 00:00:00,2024-03-21 00:00:00,254777501944,isabella.koech33@gmail.com,active
3008,Noah Ochieng Musyoka,Noah,Ochieng,Musyoka,Form 1,F,Term 1,2024/2025,43100,0,43100,pending,2024-04-02,2024-02-24 00:00:00,2024-03-12 00:00:00,254738299330,noah.musyoka92@gmail.com,active
3009,Elijah  Kamau,Elijah,,Kamau,Form 1,H,Term 1,2024/2025,40325,19572,20753,partial,2024-05-04,2024-02-25 00:00:00,2024-03-22 00:00:00,254765589018,elijah.kamau78@gmail.com,active
3010,Lucas  Maina,Lucas,,Maina,Form 1,C,Term 1,2024/2025,42538,42538,0,paid,2024-02-27,2024-02-12 00:00:00,2024-03-11 00:00:00,254784569804,lucas.maina47@gmail.com,active
3011,Elijah  Maina,Elijah,,Maina,Form 1,C,Term 1,2024/2025,40336,29977,10359,partial,2024-05-30,2024-04-02 00:00:00,2024-04-06 00:00:00,254759506134,elijah.maina89@gmail.com,active
3012,Brian Wanjiku Odhiambo,Brian,Wanjiku,Odhiambo,Form 1,B,Term 1,2024/2025,39044,39044,0,paid,2024-05-07,2024-04-08 00:00:00,2024-05-23 00:00:00,254723227748,brian.odhiambo19@gmail.com,active
3013,Benjamin Adhiambo Cheruiyot,Benjamin,Adhiambo,Cheruiyot,Form 1,C,Term 1,2024/2025,40890,0,40890,pending,2024-03-22,2024-02-21 00:00:00,2024-03-11 00:00:00,254717841163,benjamin.cheruiyot77@gmail.com,active
3014,Emma Mutua Musyoka,Emma,Mutua,Musyoka,Form 1,D,Term 1,2024/2025,46325,0,46325,pending,2024-06-09,2024-04-11 00:00:00,2024-05-01 00:00:00,254724594254,emma.musyoka16@gmail.com,active
3015,Henry Kiptoo Kariuki,Henry,Kiptoo,Kariuki,Form 1,E,Term 1,2024/2025,42095,0,42095,pending,2024-03-26,2024-02-13 00:00:00,2024-02-18 00:00:00,254798859198,henry.kariuki17@gmail.com,active
3016,Charles Barasa Otieno,Charles,Barasa,Otieno,Form 1,H,Term 1,2024/2025,41940,14428,27512,partial,2024-06-29,2024-04-05 00:00:00,2024-04-28 00:00:00,254797967925,charles.otieno27@gmail.com,active
3017,Elijah Wafula Otieno,Elijah,Wafula,Otieno,Form 1,D,Term 1,2024/2025,42022,0,42022,pending,2024-05-04,2024-04-18 00:00:00,2024-04-22 00:00:00,254779637536,elijah.otieno28@gmail.com,active
3018,Steven Achieng Wafula,Steven,Achieng,Wafula,Form 1,B,Term 1,2024/2025,46400,21079,25321,partial,2024-05-17,2024-03-02 00:00:00,2024-03-11 00:00:00,254725676093,steven.wafula47@gmail.com,active
3019,John Mwangi Kariuki,John,Mwangi,Kariuki,Form 1,G,Term 1,2024/2025,42561,0,42561,pending,2024-02-16,2024-01-13 00:00:00,2024-02-08 00:00:00,254740522633,john.kariuki46@gmail.com,active
