admissionNumber,firstName,middleName,lastName,form,status,stream,dateOfBirth,gender,parentPhone,email,address,uploadBatchId
3000,Susan,Muli,Koech,Form 1,active,C,7/20/2008,Male,254767169520,susan.koech98@gmail.com,"390 Main Street, Thika",
3001,Emma,Rono,Akinyi,Form 1,active,C,6/20/2011,Male,254798667572,emma.akinyi60@gmail.com,"416 Ngong Road, Nairobi",
3002,Alexander,Ochieng,Mutua,Form 1,active,C,11/22/2011,Female,254715791680,alexander.mutua85@gmail.com,"648 Ngong Road, Meru",
3003,John,,Ochieng,Form 1,active,C,3/13/2010,Female,254763614372,john.ochieng37@gmail.com,"159 Main Street, Meru",
3004,Eric,Njeri,Akinyi,Form 1,active,F,4/20/2009,Male,254734853138,eric.akinyi46@gmail.com,"833 Uhuru Highway, Kisumu",
3005,John,,Ochieng,Form 1,active,A,9/22/2008,Male,254764642173,john.ochieng10@gmail.com,"749 Main Street, Kakamega",
3006,Oliver,,Chebet,Form 1,active,E,7/15/2007,Female,254767164977,oliver.chebet99@gmail.com,"200 Kisumu Road, Kisumu",
3007,Isabella,Musyoka,Koech,Form 1,active,A,5/12/2009,Male,254777501944,isabella.koech33@gmail.com,"688 Kisumu Road, Nakuru",
3008,Noah,Ochieng,Musyoka,Form 1,active,F,2/20/2009,Male,254738299330,noah.musyoka92@gmail.com,"694 Ngong Road, Nakuru",
3009,Elijah,,Kamau,Form 1,active,H,12/5/2007,Male,254765589018,elijah.kamau78@gmail.com,"186 Thika Road, Eldoret",
3010,Lucas,,Maina,Form 1,active,C,7/17/2011,Male,254784569804,lucas.maina47@gmail.com,"25 Eldoret Road, Eldoret",
3011,Elijah,,Maina,Form 1,active,C,12/14/2010,Female,254759506134,elijah.maina89@gmail.com,"527 River Road, Kakamega",
3012,Brian,Wanjiku,Odhiambo,Form 1,active,B,6/25/2011,Female,254723227748,brian.odhiambo19@gmail.com,"774 River Road, Kisumu",
3013,Benjamin,Adhiambo,Cheruiyot,Form 1,active,C,9/10/2010,Male,254717841163,benjamin.cheruiyot77@gmail.com,"365 Eldoret Road, Thika",
3014,Emma,Mutua,Musyoka,Form 1,active,D,6/11/2010,Female,254724594254,emma.musyoka16@gmail.com,"223 Main Street, Nairobi",
3015,Henry,Kiptoo,Kariuki,Form 1,active,E,2/3/2010,Female,254798859198,henry.kariuki17@gmail.com,"79 River Road, Nairobi",
3016,Charles,Barasa,Otieno,Form 1,active,H,12/8/2009,Female,254797967925,charles.otieno27@gmail.com,"69 Ngong Road, Mombasa",
3017,Elijah,Wafula,Otieno,Form 1,active,D,3/20/2006,Male,254779637536,elijah.otieno28@gmail.com,"409 Eldoret Road, Thika",
3018,Steven,Achieng,Wafula,Form 1,active,B,3/26/2011,Male,254725676093,steven.wafula47@gmail.com,"276 Eldoret Road, Kisumu",
3019,John,Mwangi,Kariuki,Form 1,active,G,3/11/2009,Male,254740522633,john.kariuki46@gmail.com,"502 Moi Avenue, Nakuru",
3020,Susan,Chebet,Wanjiku,Form 1,active,D,8/16/2011,Male,254739847561,susan.wanjiku85@gmail.com,"93 Thika Road, Nairobi",
3021,Patricia,Mutua,Kamau,Form 1,active,B,3/16/2008,Male,254727617798,patricia.kamau88@gmail.com,"637 Ngong Road, Mombasa",
3022,Isabella,Ochieng,Kariuki,Form 1,active,F,6/1/2009,Female,254791725799,isabella.kariuki10@gmail.com,"154 Moi Avenue, Nakuru",
3023,Linda,Rono,Mwangi,Form 1,active,C,12/14/2005,Female,254775641030,linda.mwangi37@gmail.com,"589 Kenyatta Avenue, Kitale",
3024,Liam,Akinyi,Kamau,Form 1,active,E,7/4/2005,Male,254745520481,liam.kamau76@gmail.com,"500 Kenyatta Avenue, Kisumu",
3025,Christopher,,Mutua,Form 1,active,A,7/27/2010,Female,254739113055,christopher.mutua27@gmail.com,"989 Ngong Road, Mombasa",
3026,Patricia,Wafula,Mutua,Form 1,active,E,12/24/2005,Female,254723342306,patricia.mutua48@gmail.com,"436 Ngong Road, Meru",
3027,William,,Maina,Form 1,active,F,6/12/2010,Male,254723385185,william.maina61@gmail.com,"554 River Road, Machakos",
